"Step","04_12_04_26_56 - val_S_1500","04_12_04_26_56 - val_S_1500__MIN","04_12_04_26_56 - val_S_1500__MAX"
"5250","1.3222113847732544","1.3222113847732544","1.3222113847732544"
"6000","1.1936923265457153","1.1936923265457153","1.1936923265457153"
"6750","1.4605923891067505","1.4605923891067505","1.4605923891067505"
"7500","1.2545074224472046","1.2545074224472046","1.2545074224472046"
"8250","1.5167967081069946","1.5167967081069946","1.5167967081069946"
"9000","1.5405634641647339","1.5405634641647339","1.5405634641647339"
"9750","1.5741543769836426","1.5741543769836426","1.5741543769836426"
"10500","1.5828720331192017","1.5828720331192017","1.5828720331192017"
"11250","1.6695994138717651","1.6695994138717651","1.6695994138717651"
"12000","1.7581382989883423","1.7581382989883423","1.7581382989883423"
"12750","1.8438160419464111","1.8438160419464111","1.8438160419464111"
"13500","1.8430023193359375","1.8430023193359375","1.8430023193359375"
"14250","1.7630332708358765","1.7630332708358765","1.7630332708358765"
"15000","1.771471619606018","1.771471619606018","1.771471619606018"
"15750","1.7694904804229736","1.7694904804229736","1.7694904804229736"
"16500","1.8470346927642822","1.8470346927642822","1.8470346927642822"
"17250","1.7684611082077026","1.7684611082077026","1.7684611082077026"
"18000","1.8703821897506714","1.8703821897506714","1.8703821897506714"
"18750","1.9527231454849243","1.9527231454849243","1.9527231454849243"
"19500","2.0673813819885254","2.0673813819885254","2.0673813819885254"
"20250","1.8704107999801636","1.8704107999801636","1.8704107999801636"
"21000","2.043297290802002","2.043297290802002","2.043297290802002"
"21750","2.1746973991394043","2.1746973991394043","2.1746973991394043"
"22500","1.9873631000518799","1.9873631000518799","1.9873631000518799"
"23250","2.0633647441864014","2.0633647441864014","2.0633647441864014"
"24000","2.0518076419830322","2.0518076419830322","2.0518076419830322"
"24750","1.901277780532837","1.901277780532837","1.901277780532837"
"25500","2.0546202659606934","2.0546202659606934","2.0546202659606934"
"26250","2.085693120956421","2.085693120956421","2.085693120956421"
"27000","2.1026289463043213","2.1026289463043213","2.1026289463043213"
"27750","2.1658661365509033","2.1658661365509033","2.1658661365509033"
"28500","2.107283353805542","2.107283353805542","2.107283353805542"
"29250","2.1470863819122314","2.1470863819122314","2.1470863819122314"
"30000","2.1511290073394775","2.1511290073394775","2.1511290073394775"
"30750","2.2036616802215576","2.2036616802215576","2.2036616802215576"
"31500","2.2370526790618896","2.2370526790618896","2.2370526790618896"
"32250","2.173764228820801","2.173764228820801","2.173764228820801"
"33000","2.250441789627075","2.250441789627075","2.250441789627075"
"33750","2.182710886001587","2.182710886001587","2.182710886001587"
"34500","2.252612352371216","2.252612352371216","2.252612352371216"
"35250","2.203629732131958","2.203629732131958","2.203629732131958"
"36000","2.1927261352539062","2.1927261352539062","2.1927261352539062"
"36750","2.212305784225464","2.212305784225464","2.212305784225464"
"37500","2.208437442779541","2.208437442779541","2.208437442779541"
"38250","2.224838972091675","2.224838972091675","2.224838972091675"
"39000","2.2362029552459717","2.2362029552459717","2.2362029552459717"
"39750","2.225087881088257","2.225087881088257","2.225087881088257"